@relation featureTestingNewDataSet2

@attribute attribute_0 numeric
@attribute attribute_1 numeric
@attribute attribute_2 numeric
@attribute attribute_3 numeric
@attribute attribute_4 numeric
@attribute attribute_5 {0,2,4}

@data
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
2,0,0,0,0,4
2,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,0,2
0,1,0,0,0,2
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
2,0,0,0,0,4
2,0,0,0,0,4
0,2,0,0,0,2
0,2,0,0,0,2
0,1,0,0,0,2
0,1,0,0,0,2
0,2,0,0,0,2
0,1,0,0,0,2
0,1,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,4
0,2,0,0,0,2
0,2,0,0,0,2
1,0,0,0,0,4
0,1,0,0,0,2
0,1,0,0,0,2
0,2,0,0,0,2
0,2,0,0,0,2
0,1,0,0,0,2
0,1,0,0,0,2
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,2
2,0,0,0,0,4
2,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
4,0,0,0,0,4
4,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
3,2,0,0,0,2
3,2,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
2,0,2,0,0,4
2,0,2,0,0,4
3,0,0,0,0,4
3,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,1,0,0,0,2
1,1,0,0,0,2
1,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,0,2
0,1,0,0,0,2
0,1,0,0,0,2
0,1,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,1,0,0,4
0,0,1,0,0,4
1,1,0,0,0,2
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,1,0,0,0,2
1,1,0,0,0,2
0,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,0,2
0,1,0,0,0,2
1,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,0,2
0,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,0,2
0,1,0,0,0,2
1,1,0,0,0,2
1,1,0,0,0,2
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
2,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
2,0,0,0,0,4
2,0,0,0,0,4
2,0,0,0,0,4
2,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
2,0,0,0,0,4
2,0,0,0,0,4
2,0,0,0,0,4
2,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,2,0,2
2,0,0,0,0,4
2,0,0,0,0,4
0,1,0,0,0,2
0,1,0,0,0,2
3,0,0,0,0,4
3,0,0,0,0,4
2,0,0,0,0,4
2,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
