" Taking my daughter to the cinema for the first time, 'film' is tinkerbell rather than citizen Kane/shawshank redemption, but it's a start!",positive,,
 @user It was the best movie since Citizen Kane! #DidNotSeeGreenHornet,positive,,
" @user are you kidding? I HATED the classics! with the exception of Citizen Kane, I wish those films never existed!",positive,,
ks me in. Completely rewatchable.,positive,,
" Just watched Shudder Island. Makes The Game and Fight Club look like Casablanca and Citizen Kane, respectively.",negative,,
 @user CAN'T WAIT! Love the Orsen Welles/Citizen Kane teaser reference in the promo vid!,positive,,
" @user I enjoyed the first episode, particularly the homage to the trailer for CITIZEN KANE.",positive,,
" Yeah, I guess it wasn't Citizen Kane..But what a clever way to integrate a tribute to opposing player into pregame @user @user",positive,,
 @user I'm not surprised- it was hip-hop's Citizen Kane.,negative,,
 just watched Citizen Kane for the first time - still not sure what I have been missing all thse years ...,negative,,
 Trying to talk this party into playing Citizen Kane tonight simultaneously with the party. #homeworkataparty #jealous?,positive,,
 Love the homage to the Citizen Kane trailer in the middle of @user At the Movies. @user,positive,,
" Citizen Kane is better and better each time I see it, especially when it's projected instead of on a little TV screen.",positive,,
 @user nice Orson Welles star. O just watched Citizen Kane the other day in film class. Have a great show tonight! =) \m/,positive,,
" To think, Citizen Kane accomplished more in one minute with deep focus than the millions, tech, man hours to create all of Transformers 2.",positive,,
 Casablanca and a lunch comprising of rice and fish: a good sunday,positive,,
 How poor is the customer service at Credit Du Maroc? Email for more info: @user #Maroc #Marrakesh #Casablanca,negative,,
 view from my hotel room this morning #casablanca link,positive,,
 So I made (yet again) the mistake of not booking Casablanca for brunch. Anyone got any tips for Sunday brunch in #Beirut? I want eggs...,negative,,
tter than ending it with a cheesy embrace. Thanks Casablanca.,positive,,
 Gonna watch Casablanca :) I love this movie.,positive,,
 Casablanca Sucked Anyways.,negative,,
 @user See?! Casablanca is a fucking classic! I love that movie!! And I'm afraid to say my favorite movie for fear of redicule...,positive,,
 @user so I'll never fault someone for liking any movie since my all time Favorite movie is Casablanca so see not everyones taste,positive,,
" Everytime i watch Casablanca, i can't help but feel this connection with Bogart, like we've loved the same woman. #Here'stoLookingatYouKid",positive,,
 Casablanca one of my favorite movies,positive,,
" Black and white movies are the best.  12 Angry Men, Maltese Falcon, and Casablanca just to name a few.  Really, @user",positive,,
 Ex-ISI man Col Imam murdered: The former ISI agent Colonel (r) Imam known as the godfather of the Taliban has be... link,negative,,
" I do not want to be in your bloddy mafia family.I get enough requests on facebook now on twitter, I don't care about the friking godfather.",negative,,
