@RELATION featureTestingSanders

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 {2,4}

@DATA
0,0,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,2
0,1,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,2
1,0,0,0,0,2
0,1,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,4
1,0,0,0,0,2
0,0,0,0,0,4
0,1,0,0,0,2
0,1,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,4
0,1,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,2
1,0,0,0,0,4
0,0,0,0,0,4
1,1,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,2
1,0,0,0,0,4
0,1,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,2
1,0,0,0,0,2
0,0,0,0,0,2
1,0,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,1,0,0,0,2
0,0,0,0,0,2
1,0,0,0,0,2
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,4
0,1,0,0,0,2
1,1,0,0,0,2
1,1,0,0,0,2
0,0,0,0,0,2
1,0,0,0,0,4
1,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,1,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,2
0,1,0,0,0,2
1,0,0,0,0,2
0,1,0,0,0,2
1,0,0,0,0,4
1,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
1,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,2
1,0,0,0,0,4
0,0,0,0,0,4
0,2,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,2
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,2
1,0,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,2
0,1,0,0,0,2
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,4
