"  Now 25, he's still doing tv and movies.  And he's barefoot.",negative
 #agoodgirlfriend will always have your back and ride for you like bonnie and clyde,positive
 #alinea WOW WOW WOW!,positive
 #backintheday we used to have BNP meetings backstage and people thought we were talking about them @user @user @user,negative
 #backintheday when we looked forward to highschool cause it was supposed to be the best years of our lives.,negative
 #bbcqt poor young Danny Alexander will become a Tory if Big Bully Boy Gideon orders him to,negative
 #bwfc when will it stop fascinating the national papers that OC plays table tennis with the lads?,negative
" #currentlyreading 'The Grapes of Wrath' by John Steinbeck. So far, so good. Getting to know why it's considered a modern classic.",positive
" #DiscGolf News: On the Street: Disc golf madness in Palmyra, 'American Idol' love - Quincy Herald Whig link",positive
 #Dubai Injured Mortaza out of Bangladesh's World Cup team: Bangladesh were on Wednesday forced to drop pace spea... link,negative
" #ebz Certain of the Masters of the Bazaar - Mr Stones, Mr Apples and Mr Wines, and possibly others - s... link",positive
 #EdBalls didn't even support Alistair Darling's most debt deficiet reduction (debt still increasing) plans! #DebtDenial link,negative
 #Emmerdale #Corrie #BaconButty and a good old #cuppa #WhyIloveSundayMornings,positive
 #Euro Is a Raging Bull link $$ #Forex #FxPG,positive
 #ff @user a male Cath zeta jones.  A singer from the valleys who can shimmy to all that jazz and likes a bit of old todge too!,positive
" #FF @user Manc for Mancunian not manky! :D and no, not Denzel Washington! He was The Manchurian Candidate! Ok, clear?! Then follow! :D x",positive
 #forex Euro Is a Raging Bull: The Euro is on a moving strong up again this week and I think next week will be mo... link,positive
 #GoodFellas is a classic,positive
 #graduate recruitment on the rise link,positive
 #ilove the lion of wizard of oz.,positive
" #insomnia. Can't sleep, so im looking out my window, and all of the flashing city lights are mesmerizing  and beautiful..",positive
 #iwannaslap Danny Alexander.  #TooPredictable..?,negative
 #iWantyhuto know that yhur tha first thought of each morning and last thought of every night :),positive
" #meangirls And on the third day, God created the Remington bolt-action rifle, so that Man could fight the dinosaurs. And the homosexuals.",positive
" #meangirls and on the third day, God created the remington bullaxe rifle. So that man can kill the dinosaurs...and the homosexuals. AMEN!",negative
 #MyBrother has a plan.   Step 1: Quit civil service job      Step 2: Learn to bartend in another state      Step 3: ???      Step 4: Profit!,positive
 #news #nexttwi What Is Epic Fail? The 6 Most Humiliating Game Shows Losses Ever: Let's be honest. We all watch g... link,negative
 #news: Penny Smith: GMTV was shambolic! Film about a failing breakfast show rings true link,positive
 #NoOffence but why do most of the black girls always call themselves 'African Queens'? It's not like I'm gonna call myself 'Belgian Queen'.,negative
 #nowplaying breathe slow - alesha dixon. Cos it's how I'm feeling. Cos it feels right.,positive
 #nowplaying Close Encounters of the Third Kind. Because aliens REALLY like #music. I have that in common with them. #flute #piano,positive
 #nowwatchin Pulp Fiction still tryin to figure out what this movie is about,negative
 #nowwatching American idol.. Most favorite TV show ever!! :)) link,positive
 #np Fantasia -- I'm Doing Me this instrumental is crazy! Mmmmm! Entire different concept for the song! #wewritesowehaveproofitsours,positive
 #Np Short of Daybreak-UnderOath :),positive
" #nw orphan, esther you're an effin psycho",negative
 #nw UEFA Champions League..highlights!,positive
" #Oprah is hot #news atm between The Sound of Music reunion last month, Australian Adventure Shows last week and tonight a half-sister...OMG!",positive
 #random Everytime I see a gang of motorcyclists I think of the Episode of Sponge Bob and the Wild Bunch..ha ha..they were all old!! He he,negative
 #Sports #News: Mock draft presents interesting All-Star Game picture link #NFL #MLB #NBA #NHL,positive
" #star #wars #news George Lucas predicts doom, according to Rogen link",negative
 #SuspiciousIncident at 120 Hibiscus Ct. #orlpol,negative
 #throwbackmuzik Cotton Candy sweet as gold let me see u Tootsie Roll come on now slide baby slide lol,positive
" #ufc #tuf #mma #pride: TUF 13 Finale: Clay Guida is dropping people, breaking jaws... link #news #sports #fitness #karate",positive
 #UKuncut,
 $EURUSD Euro Is a Raging Bull: The Euro is on a moving strong up again this week and I think... link #forex #mkt #stocks,positive
 *cuddles with Rocky* I hope this puppy doesn't bite my hair /:,positive
 *sigh* mii son is leaving for the night....all will be quiet on the western front,negative
 . @user I only carry the one Bomba Rice. Good enough for Ferran Adria (El Bulli) and Arzak means it is good enough for me :),positive
" ... Gone With The Wind, The Wiz and The Jazz Singer (N Diamond version) as gigantic wastes of my fucking time!",negative
