" Hey, Midnight Cowboy is pretty darn good.",positive
" Score! $1 each, Also found the sound track to Midnight Cowboy. Now I need a record player. link",positive
 Midnight Cowboy or That's So Raven? #crossroads,negative
 @user I have never heard of a bolt bus! I thought it was all greyhound buses like on midnight cowboy....,positive
 @user hi! saw midnight cowboy! excelent! how r u?,positive
 Best Midnight Cowboy pose EVER! ;-) @user,positive
e day :) link,positive
 Pimpin' my cowboy boots and Ed Hardy at midnight on the Newport Beach peninsula... don't get more OCnoxious than that!,positive
 #backintheday when we looked forward to highschool cause it was supposed to be the best years of our lives.,negative
e unhappy.,negative
" hate me argue with me, but something tells me these are the best years of our lives.",positive
st Years of Our Lives,
 these 4 years are supposed to be the best years of our lives..,negative
" We had the best years of our lives, but you and I would never be the same...",negative
" eu poderia ficar vendo What The Hell o dia inteiro, mas af nao estou bem hoje :( estou mais pra ouvir The Best Years Of Our Lives do Evan :(",negative
 Wants to watch The Best Years Of Our Lives: link,positive
" These are supposed to be the best years of our lives, but are they really?",negative
" MSNBC without Keith....8 of the best years of all our lives.  In one place, we got humor and information.  We had a voice.",positive
 I'm watching The Best Years of Our Lives (via @user link,positive
 @user those are going to be the best years of our lives,positive
" We had the best years of our lives,",positive
" We had the best years of our lives, but you and I would never be the same.",positive
 @user yeah it gets the best years of our lives,positive
 The best years of our lives - Evan Taubenfeld #nowplaying mimimi,positive
 Evan Taubenfeld - The best years of our lives *------*,positive
 Double Indemnity is a great film! The best if the film noir genre,positive
 Watching Double Indemnity for the first time. Fred MacMurray is and always will be my absent-minded professor!,negative
" WOW, Raymond Chandler wrote Double Indemnity (that movie was a bit nuts but all noir).",positive
ors Athough i got James M. Cains 'Double Indemnity' for 50p :),positive
s one of the best film noirs ever made.,positive
" @user Simon, if vampirism is a demon disease-why would it affect your ability to pray? U didn't sin. That's like double indemnity.",positive
" Doctor Zhivago, one of the ultimate classic epics is amazing. Great music, acting, direction, writing, everything. A 4-star film.",positive
" Started the new trans. of Doctor Zhivago. It's lovely and all, but why are all Russians bleaker than Thomas Hardy in winter? #fridayreads",positive
" @user Doctor Zhivago that was on PBS years ago, with Kiera Knightly, I loved that movie and bawled my eyes out!",positive
 Doctor Zhivago - Lara's Theme - link (I guess an all-time great film-music composition),positive
 @user you're officially lame. We had a great time celebrating your bday w/out you at north by northwest and beauty bar.,negative
 Yeah we young forever in the north by northwest @user that got me goin,positive
c! #bluray #hitchcock,positive
 I favorited a YouTube video -- North By Northwest Kiss scene link,positive
 I watched Rear Window and now I'm deciding on Psycho or North By Northwest. I really like North By Northwest but I think it's Psycho time.,positive
" Dinner and beer. Well, really it's beer, beer, and dinner!  @user North By Northwest (NXNW) link",positive
anks :),positive
" Recovery starts now - if you didn't see @user West Side Story, you're a fucking idiot. And you missed out on sold-out greatness.",negative
 Police Investigate West Side Shooting: Two people are in the hospital after a shooting on the city's west side S... link,negative
" @user Maria maria maria mariaaaaaaaa you remind me of a west side story growing up spanish nohoooooo,, you remind me of a movies star",positive
 @user I love West Side Story- one of my faves! @user,positive
 @user @user I think a good part of the viewing audience has no idea what west side story is...,negative
 I forgot to tell @user thank you for sending me the West Side Story callback music. Thanks so much buddy! Love ya!,positive
" Maria, Mariaaaaaaaaaaaaaaaaaaaaaaaaa, You remind me of a west side story",positive
 I remember when a long time ago I always used to throw rocks at peoples cars. Most memorable was when a van's rear window was shattered.,positive
 Tonights Screening: Spellbound. It was between that and Rear Window. Gregory Peck and his wonderfully handsome self won.,positive
" @user I like The Birds, even though I HATE birds. Rear Window is my favourite Hitchcock",positive
 I have a harder time with Perry Mason after Rear Window. Not unlike Angela Lansbury -- she always played the bad girls before.,negative
" Watching Rear Window while doing some needlework -- wish I had centered this better, but I'll take what I can get.",negative
 @user it was Dial M For Murder. Good film. I firmly suggest you watch Rear Window.,positive
 @user  your not in Wisconsin?  It is so cold her my rear view window fogged up then i got into my car to warm it up,negative
 Why can't carwashes ever take the little protective baggie off the rear window wiper? You reading this carwashes?,negative
 Tell king kong he aint got shit on me!,positive
 chillin9 doing it big photoshoot tomorrow for upcoming song ..king kong ..oowww,positive
 i think my mom's home. i hope she brought food otherwise i'm gonna turn into king kong.,positive
 MY OWN PEOPLE... HAD ME DEALT WIT! KING KONG... AINT GOT SH*T!!.. ON ME!!! *Denzel Voice and Hand Gestures*,negative
 @user YUP OOH FUKK U AHAH THINK U GOT JOCKS KING KONG AHAH,negative
 @user They should do a 2nd king of kong.,positive
AS IM FXCKIN DRAKE YA FAV RAPPR,positive
" Today is a remarkable day in the life of Mother India,the day she gave birth to a Mahapurush,True Father of the Nation Netaji Subhas Bose",positive
" Today lets salute a forgotten hero of the nation, #Netaji Subhash Chandra Bose, a true leader, on his 114th birth anniversary. #JaiHind",positive
 The Birth of a Nation is still probably the most brilliantly offensive film ever made.  Got an F destroying it in a college paper.,negative
 @user :D The Birth of a Nation,positive
 Celebrate The Birth Of The New Nation of Southern Sudan In The Capital #Juba New York Hotel link,positive
 @user yeah i think Birth of a nation is offenseive to almost anyone...It was unneccessary to put that much in the film. #film2350,negative
 @user oh that guy is bane!??? well now that is a good call. Yeah Bronson is just A Clockwork Orange. Its still good though.,positive
" @user it wasn't that much of a mindfuck, inception was more of one :p as was shutter island :p and dark city :p and clockwork orange :p",positive
" So I tinted my eyelashes and brows today by myself for the 1st time. Alas, I look like something out A Clockwork Orange.",negative
" While I do not agree with Alex's ultraviolence, I would never want to be a clockwork orange #AClockworkOrange",negative
 just watched a clockwork orange w/ judge. what a weird movie.,negative
 I've been wanting to read A Clockwork Orange again for the past 5 months. I can never find it though D': many tears.,negative
 @user a clockwork orange :),positive
" is it sad that I'm a second year film student and tonight's the first time I've seen 'A Clockwork Orange'? Yeah, probably.",negative
 A Clockwork Orange. Enough said.,positive
at reminds me that the past can be brought back. Loved the hospital eating scene,positive
 to my droogies!!!,positive
 cut throat punya taxi driver.. 3km charging rm15 :(,negative
 My taxi driver took me home when i was in a complete state and didnt even charge me i think. I love him.,positive
 Taxi driver cheat us of our time and money! Wts):,negative
 @user love it! Mine was that Ricky Whittle was my taxi driver (I was buying a bottle of vodka!) hmmmm that's part of it anyway ha,positive
" R. Kelly : taxi cab , making love in the taxi cab, she tell the driver to mind his business and keep driving.lol #np",positive
 My taxi-driver home was told by another passenger that the best party tonight is at the Adelaide Hilton. The Tour After-Party!,positive
" @user a british taxi driver once implied that I'm fat.I have nothing against fat, but he was really impolite. I prefer *silence*",negative
" Thank god i'm not driving, even tho i have a mean ass driver! (in taxi)",negative
 My taxi driver hates slow driving peeeps! Like wow? He horns at every slow driver :/,negative
 Jst cut off a taxi driver...lol and wasn't he jst so offended. Now That's irony. #lol,negative
 @user I have another one that is a lot worse and not deemed suitable for Twitter display. Now that one dropped jaws.,negative
 Just playing some Alligator Jaws with @user,positive
 Watching national geographic and I need a girl that can stretch her mouth like snakes do. The hav no jaws lol,positive
" @user -shivers and looks around- how do you plan to keep 'old man Jaws' away, then?",negative
" Hoge, Jaws, and Palantonio are brilliant together talking X's and O's on ESPN right now.",positive
 I'll wait for my jaws to be broken... Make my hair and self look good then maybe I'll find someone.,negative
 josephsmydrug asked: Snow white and the seven dwarfs has always been my favorite. link,positive
@user ?!?! feel so weird wei... HAHAHAHA..,positive
:) I love them both so much..,positive
" OTM SNOW WHITE AND THE SEVEN DWARFS, YEAH \m/",positive
 Now watching Snow White and the Seven Dwarfs. I miss my childhood days again and again.:))),positive
 @user one of my faves but my first fave one is Snow White and the seven dwarfs,positive
 movie: Butch Cassidy and the Sundance Kid  . Not great.,negative
 Just watched Butch Cassidy and the Sundance Kid again. It really is as close to perfection as films get.,positive
 Really did enjoy Butch Cassidy and the Sundance Kid. Loved the One True Threesome with Etta.,positive
 Yes. I am staying up all night to watch Butch Cassidy and the Sundance Kid.,positive
 Butch Cassidy and the Sundance Kid because my Western education is woefully limited.,negative
 I have now seen Butch Cassidy and the Sundance Kid. Nice :),positive
 Just finished Butch Cassidy and the Sundance Kid. Great Western. Great Film.,positive
 I love Seabourn. Had lunch yesterday with a lady who told me that The Philadelphia Story was written about her... link,positive
 @user i always get overwhelmed and end up watching Te Philadelphia Story for the eleventy-billionth time.,positive
 Hey found this! PA Supreme Court Strikes Down Philadelphia Tobacco Law: PHILADELPHIA -- The Pe... link I hope it helped!,positive
 Renewal of Ogontz Ave. -- Philly Biz Journal tells positive side of the story after Inky went negative link via @user,positive
" @user *smiles and holds you tight* I love you Isabella Swan, and I want to make you smile every single day from here till eternity",positive
" Hell ain't a bad place, hell is from here to eternity!!!!!! /,,/",positive
 my favorite BlacknWhite movie...From here to Eternity #random,positive
" @user @user Is hoping, amongst the angst and tender, a possible From Here To Eternity moment..lol",positive
