@relation featureVectorTest

@attribute positivecount numeric
@attribute negativecount numeric
@attribute positiveemoji numeric
@attribute negativeemoji numeric
@attribute lengthywordscore numeric
@attribute label {4,5}

@data
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,1,0,5
0,0,0,0,0,4
0,1,0,0,0,5
1,0,0,0,0,4
0,1,0,0,0,5
0,1,0,0,0,5
0,2,0,0,0,5
0,0,0,0,0,4
0,0,0,0,5,4
2,2,0,0,0,5
1,0,0,0,0,4
0,0,0,0,5,4
0,1,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
2,0,0,0,5,5
0,0,0,0,5,4
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,5,4
0,0,0,0,20,5
1,1,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
0,1,0,0,0,5
1,1,0,2,0,5
0,0,0,0,5,4
1,0,0,0,0,4
0,0,0,0,10,5
1,0,0,0,0,4
1,0,0,0,10,4
0,0,0,0,10,5
0,0,0,0,5,4
0,0,0,0,5,4
0,0,0,0,30,4
0,0,0,0,30,4
0,0,0,1,5,4
0,0,0,0,0,4
1,0,0,0,5,4
2,0,0,0,5,5
0,0,0,0,5,4
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,4
0,2,0,0,5,5
0,0,0,0,5,4
0,0,0,0,0,4
0,0,0,0,10,5
0,0,0,0,5,4
1,0,0,0,5,4
0,0,0,0,0,4
0,0,0,0,5,4
0,0,0,0,5,4
0,0,0,0,20,5
0,1,0,0,5,5
0,0,0,0,0,4
2,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,5,5
1,0,0,0,5,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,5,4
0,0,0,0,5,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,5,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,25,4
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
0,1,0,0,0,5
1,0,0,0,5,4
0,1,0,0,0,5
1,0,0,0,0,4
1,0,1,0,5,4
0,0,0,0,0,4
1,0,0,0,5,4
1,0,1,0,5,4
0,1,0,1,0,5
0,0,0,0,0,4
1,2,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
