@RELATION combinedTesting

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 {4,5}

@DATA
1,0,0,0,0,4
0,0,0,0,5,4
0,0,0,0,0,4
0,0,0,0,5,5
0,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,0,4
1,0,0,0,5,5
1,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
2,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,5,4
1,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,4
1,1,0,0,0,5
0,0,0,0,5,4
0,0,1,0,0,4
0,0,0,0,0,5
1,1,0,0,0,4
2,2,0,0,5,4
0,0,0,0,10,4
1,0,0,0,0,4
1,0,0,0,5,4
0,0,0,0,10,5
1,0,0,0,5,5
1,0,0,0,0,4
1,0,0,0,5,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
1,1,0,0,0,5
0,0,0,0,5,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
1,1,0,0,0,4
0,1,0,0,10,5
0,0,0,0,10,5
0,0,0,0,5,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,10,5
0,0,0,0,10,4
0,0,0,0,15,5
0,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,5,4
0,0,0,0,0,5
0,0,0,0,5,5
0,1,0,0,5,5
1,0,0,0,5,4
0,0,0,0,0,5
0,0,0,0,5,5
0,0,0,0,5,4
0,0,0,0,10,4
0,1,0,0,0,4
0,0,0,0,0,4
0,0,0,0,5,4
0,0,0,0,0,5
3,0,0,0,5,4
0,0,0,0,5,4
0,0,0,0,5,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,5,4
0,1,0,0,0,4
0,1,0,0,5,4
0,1,0,0,0,5
0,1,0,0,5,4
0,0,0,0,15,5
0,0,0,0,5,4
0,0,0,0,15,4
0,0,0,0,0,4
0,0,0,0,5,4
0,1,0,0,10,4
1,1,0,0,5,5
0,0,0,0,5,4
1,0,0,0,5,5
0,0,0,0,0,4
0,0,0,0,10,4
0,0,0,0,5,5
0,0,0,0,10,4
0,0,0,0,5,4
0,1,0,0,0,5
0,0,0,0,5,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,10,4
0,0,0,0,5,4
0,0,0,0,15,5
0,0,0,0,0,5
1,0,0,0,0,4
0,1,0,0,0,4
0,0,0,0,5,4
0,0,0,0,5,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,5,4
0,0,0,0,10,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,5,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,5
1,0,0,0,10,5
0,0,0,0,5,5
0,2,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,5,5
1,0,0,0,0,5
0,0,0,0,5,5
0,0,0,0,5,4
0,0,0,0,15,4
0,0,0,0,5,4
0,0,0,0,20,4
0,0,0,0,10,4
0,1,0,0,5,4
1,0,0,0,5,4
0,0,0,0,5,4
0,0,0,0,5,4
0,0,0,0,10,4
0,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,5,4
0,0,0,0,0,5
0,1,0,0,15,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,5,5
0,1,0,0,5,5
0,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,0,1,0,20,4
0,0,0,0,0,4
0,1,0,0,0,5
1,0,0,0,5,4
0,0,0,0,15,4
0,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,5,4
0,0,0,0,5,5
0,0,0,0,10,4
0,0,0,0,10,4
0,0,0,0,0,4
1,0,0,0,5,4
1,0,0,0,5,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,5,4
0,0,0,0,5,5
0,1,0,0,5,4
0,1,0,0,0,5
0,0,0,0,5,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,5,4
1,0,0,0,5,4
1,0,0,0,10,5
0,0,0,0,5,4
0,0,0,0,10,4
0,0,0,0,5,5
1,0,0,0,0,5
0,0,0,0,5,5
0,0,0,0,5,4
1,0,0,0,5,4
0,0,0,0,5,5
0,0,0,0,10,5
0,0,0,0,0,4
0,0,0,0,0,5
1,0,0,0,10,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,5,4
1,0,0,0,0,4
1,0,0,0,5,4
1,0,0,0,5,4
2,1,0,0,0,5
0,0,0,0,10,5
1,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,5,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,10,4
0,0,0,0,10,4
0,0,0,0,10,5
0,0,0,0,5,4
0,0,0,0,5,4
0,0,0,0,10,5
1,0,0,0,15,4
0,0,0,0,5,5
1,0,0,0,10,4
1,0,0,0,10,4
0,1,0,0,0,5
0,0,0,0,5,4
1,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,10,4
0,0,0,0,10,5
0,0,0,0,0,4
0,0,0,0,10,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,5,4
0,0,0,0,10,5
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,5,4
1,0,0,0,5,4
1,1,0,0,10,4
0,0,0,0,5,4
0,0,0,0,15,4
0,0,0,0,0,5
4,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
1,0,0,0,0,5
0,0,0,0,15,5
0,0,0,0,10,4
1,0,3,0,0,4
0,0,0,0,0,4
0,0,0,0,10,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,1,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
1,0,0,0,0,5
0,1,0,0,0,5
0,1,0,0,0,5
0,2,0,0,0,5
0,0,0,0,0,4
0,0,0,0,5,4
2,2,0,0,0,5
1,0,1,0,0,4
0,0,0,0,5,4
0,1,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
2,0,0,0,5,5
0,0,0,0,5,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,5,5
0,0,0,0,20,5
1,1,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,1,0,0,0,5
1,1,0,0,0,5
0,0,0,0,5,4
1,0,0,0,0,4
0,0,0,0,10,5
1,0,0,0,0,5
1,0,0,0,10,4
0,0,0,0,10,5
0,0,0,0,5,5
0,0,1,0,5,4
0,0,0,0,30,4
0,0,0,0,30,4
0,0,0,0,5,5
0,0,0,0,0,5
1,0,0,0,5,4
2,0,0,0,5,4
0,0,0,0,5,5
1,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
0,2,0,0,5,5
0,0,0,0,5,5
0,0,0,0,0,5
0,0,0,0,10,4
0,0,0,0,5,4
1,0,0,0,5,5
0,0,3,0,0,4
0,0,0,0,5,4
0,0,0,0,5,4
0,0,0,0,20,5
0,1,0,0,5,5
0,0,0,0,0,4
2,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,5,4
1,0,0,0,5,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,5
0,0,0,0,5,5
0,0,0,0,5,4
1,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,5,5
0,0,0,0,0,4
0,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
